date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-07-08,995.05,997.9,984.86,975.0,33613.52,-14.96,-1.5,995.756,995.383,964.672,47212.66,44835.15,45824.63,0.27
2019-07-05,986.0,1006.0,999.82,976.3,50032.71,18.62,1.9,1005.156,995.607,958.983,50957.41,46051.72,46919.08,0.4
2019-07-04,985.8,990.8,981.2,971.22,46216.68,-6.7,-0.68,1001.992,993.255,952.098,47168.54,45641.13,46156.78,0.37
2019-07-03,1020.0,1023.0,987.9,981.5,67139.32,-37.1,-3.62,1005.022,992.635,946.618,47520.9,47746.65,45549.32,0.53
2019-07-02,1025.0,1029.5,1025.0,1016.0,39061.09,-6.86,-0.67,1003.414,987.046,940.988,40010.67,46405.36,44176.82,0.31
2019-07-01,1004.52,1035.6,1031.86,1000.22,52337.23,47.86,4.86,995.01,976.246,934.338,42457.64,45443.39,43947.73,0.42
2019-06-28,985.99,988.88,984.0,971.33,31088.4,2.19,0.22,986.058,964.22,927.245,41146.04,43486.57,43120.56,0.25
2019-06-27,985.0,1001.0,996.35,981.12,47978.45,16.49,1.68,984.518,957.12,923.31,44113.71,44623.24,43578.5,0.38
2019-06-26,985.0,985.0,979.86,971.22,29588.18,-3.12,-0.32,980.248,948.485,919.088,47972.41,43117.13,44461.93,0.24
2019-06-25,992.0,999.0,982.98,967.0,51295.95,-4.12,-0.42,970.678,941.169,914.495,52800.05,43933.05,46721.16,0.41
2019-06-24,978.3,999.69,987.1,975.0,45779.2,10.8,1.11,957.482,933.96,909.296,48429.14,46814.1,46114.45,0.36
2019-06-21,969.97,984.49,976.3,964.5,45926.75,1.3,0.13,942.382,922.358,903.866,45827.11,47786.43,46027.2,0.37
2019-06-20,932.5,975.5,975.0,932.2,67271.97,42.99,4.61,929.722,910.941,898.101,45132.76,46672.44,46633.79,0.54
2019-06-19,940.0,946.7,932.01,932.01,53726.4,15.01,1.64,916.722,900.601,893.751,38261.85,43351.98,44872.27,0.43
2019-06-18,917.0,920.0,917.0,902.6,29441.38,5.4,0.59,911.66,894.93,891.901,35066.05,41948.29,44305.23,0.23
2019-06-17,907.0,926.94,911.6,906.02,32769.03,-1.4,-0.15,910.438,892.43,890.299,45199.07,42452.07,45053.57,0.26
2019-06-14,911.0,932.3,913.0,910.02,42455.04,3.0,0.33,902.334,890.27,890.058,49745.75,42754.55,45907.19,0.34
2019-06-13,910.0,912.3,910.0,897.0,32917.42,3.3,0.36,892.16,889.5,890.904,48212.11,42533.77,46011.45,0.26
2019-06-12,906.22,910.99,906.7,894.0,37747.4,-4.19,-0.46,884.48,889.691,891.754,48442.1,45806.72,47521.79,0.3
2019-06-11,876.0,915.61,910.89,875.0,80106.44,39.81,4.57,878.2,887.821,890.747,48830.52,49509.26,48633.58,0.64
2019-06-10,857.98,878.95,871.08,840.0,55502.46,8.95,1.04,874.422,884.632,889.803,39705.08,45414.8,46960.11,0.44
2019-06-06,875.62,875.77,862.13,858.0,34786.85,-9.47,-1.09,878.206,885.374,891.605,35763.35,44267.97,48180.36,0.28
2019-06-05,884.0,886.26,871.6,870.0,34067.36,-3.7,-0.42,886.84,885.261,891.439,36855.42,46595.14,51018.27,0.27
2019-06-04,895.0,895.43,875.3,871.0,39689.48,-16.7,-1.87,894.902,886.901,892.079,43171.34,46392.57,53409.05,0.32
